Kanji,Readings,Meaning,Score,Level
肩,ケン・かた,shoulder,3,2
湿,シツ・シュウ・しめ.る・しめ.す・うるお.う・うるお.す,damp; wet; moist,3,2
湯,トウ・ゆ,hot water; bath; hot spring,3,2
則,ソク・のっと.る,rule; follow; based on; model after,3,2
姓,セイ・ショウ,surname,3,2
符,フ,token; sign; mark; tally; charm,3,2
課,カ,chapter; lesson; section; department; division; counter for chapters (of a book),3,2
含,ガン・ふく.む・ふく.める,contain; include; hold in the mouth; bear in mind; understand; cherish,3,2
編,ヘン・あ.む・~あ.み,compilation; knit; plait; braid; twist; editing; completed poem; part of a book,3,2
型,ケイ・かた・~がた,mould; type; model,3,2
届,カイ・とど.ける・~とど.け・とど.く,deliver; reach; arrive; report; notify; forward,3,2
囲,イ・かこ.む・かこ.う・かこ.い,surround; besiege; store; paling; enclosure; encircle; preserve; keep,3,2
隅,グウ・すみ,corner; nook,3,2
林,リン・はやし,grove; forest,3,2
技,ギ・わざ,skill; art; craft; ability; feat; performance; vocation; arts,3,2
純,ジュン,genuine; purity; innocence; net (profit),3,2
輸,ユ・シュ,transport; send; be inferior,3,2
舟,シュウ・ふね・ふな~・~ぶね,boat; ship,3,2
略,リャク・ほぼ・はぶ.く・おか.す・おさ.める・はかりごと・はか.る,abbreviation; omission; outline; shorten; capture; plunder,3,2
帯,タイ・お.びる・おび,sash; belt; obi; zone; region,3,2
極,キョク・ゴク・きわ.める・きわ.まる・きわ.まり・きわ.み・き.める・~ぎ.め・き.まる,poles; settlement; conclusion; end; highest rank; electric poles; very; extremely; most; highly; 10**48,3,2
粉,フン・デシメートル・こ・こな,flour; powder; dust,3,2
兵,ヘイ・ヒョウ・つわもの,soldier; private; troops; army; warfare; strategy; tactics,3,2
量,リョウ・はか.る,quantity; measure; weight; amount; consider; estimate; surmise,3,2
岩,ガン・いわ,boulder; rock; cliff,3,2
減,ゲン・へ.る・へ.らす,dwindle; decrease; reduce; decline; curtail; get hungry,3,2
緑,リョク・ロク・みどり,green,3,2
筒,トウ・つつ,cylinder; pipe; tube; gun barrel; sleeve,3,2
肌,キ・はだ,texture; skin; body; grain,3,2
卵,ラン・たまご,egg; ovum; spawn; roe,3,2
貯,チョ・た.める・たくわ.える,savings; store; lay in; keep; wear mustache,3,2
歴,レキ・レッキ,curriculum; continuation; passage of time,3,2
殿,デン・テン・との・~どの,Mr.; hall; mansion; palace; temple; lord,3,2
延,エン・の.びる・の.べる・の.べ・の.ばす,prolong; stretching,3,2
宝,ホウ・たから,treasure; wealth; valuables,3,2
占,セン・し.める・うらな.う,fortune-telling; divining; forecasting; occupy; hold; have; get; take,3,2
査,サ,investigate,3,2
籍,セキ,enroll; domiciliary register; membership,3,2
香,コウ・キョウ・か・かお.り・かお.る,incense; smell; perfume,3,2
鉄,テツ・くろがね,iron,3,2
塔,トウ,pagoda; tower; steeple,3,2
砂,サ・シャ・すな,sand,3,2
包,ホウ・つつ.む・くる.む,wrap; pack up; cover; conceal,3,2
械,カイ・かせ,contraption; fetter; machine; instrument,3,2
印,イン・しるし・~じるし・しる.す,stamp; seal; mark; imprint; symbol; emblem; trademark; evidence; souvenir; India,3,2
召,ショウ・め.す,seduce; call; send for; wear; put on; ride in; buy; eat; drink; catch (cold),3,2
競,キョウ・ケイ・きそ.う・せ.る・くら.べる,emulate; compete with; bid; sell at auction; bout; contest; race,3,2
採,サイ・と.る,pick; take; fetch; take up,3,2
乱,ラン・ロン・みだ.れる・みだ.る・みだ.す・みだ・おさ.める・わた.る,riot; war; disorder; disturb,3,2
液,エキ,fluid; liquid; juice; sap; secretion,3,2
短,タン・みじか.い,short; brevity; fault; defect; weak point,3,2
肯,コウ・がえんじ.る,agreement; consent; comply with,3,2
池,チ・いけ,pond; cistern; pool; reservoir,3,2
粒,リュウ・つぶ,grains; drop; counter for tiny particles,3,2
双,ソウ・ふた・たぐい・ならぶ・ふたつ,pair; set; comparison; counter for pairs,3,2
憎,ゾウ・にく.む・にく.い・にく.らしい・にく.しみ,hate; detest,3,2
普,フ・あまね.く・あまねし,universal; wide(ly); generally; Prussia,3,2
塩,エン・しお,salt,3,2
泥,デイ・ナイ・デ・ニ・どろ・なず.む,mud; mire; adhere to; be attached to,3,2
帽,ボウ・モウ・ずきん・おお.う,cap; headgear,3,2
拾,シュウ・ジュウ・ひろ.う,pick up; gather; find; go on foot; ten,3,2
膚,フ・はだ,skin; body; grain; texture; disposition,3,2
勢,セイ・ゼイ・いきお.い・はずみ,forces; energy; military strength,3,2
炭,タン・すみ,charcoal; coal,3,2
兆,チョウ・きざ.す・きざ.し,portent; 10**12; trillion; sign; omen; symptoms,3,2
絡,ラク・から.む・から.まる,entwine; coil around; get caught in,3,2
雲,ウン・くも・~ぐも,cloud,3,2
筆,ヒツ・ふで,writing brush; writing; painting brush; handwriting,3,2
仲,チュウ・なか,go-between; relationship,3,2
停,テイ・と.める・と.まる,halt; stopping,3,2
材,ザイ,lumber; log; timber; wood; materials; ingredients; talent,3,2
均,キン・なら.す,level; average,3,2
線,セン・すじ,line; track,3,2
硬,コウ・かた.い,stiff; hard,3,2
汚,オ・けが.す・けが.れる・けが.らわしい・よご.す・よご.れる・きたな.い,dirty; pollute; disgrace; rape; defile,3,2
祝,シュク・シュウ・いわ.う,celebrate; congratulate,3,2
永,エイ・なが.い,eternity; long; lengthy,3,2
訓,クン・キン・おし.える・よ.む・くん.ずる,instruction; Japanese character reading; explanation; read,3,2
順,ジュン,obey; order; turn; right; docility; occasion,3,2
捜,ソウ・シュ・シュウ・さが.す,search; look for; locate,3,2
練,レン・ね.る・ね.り,practice; gloss; train; drill; polish; refine,3,2
辛,シン・から.い・つら.い・~づら.い・かのと,spicy; bitter; hot; acrid,3,2
薄,ハク・うす.い・うす~・~うす・うす.める・うす.まる・うす.らぐ・うす.ら~・うす.れる・すすき,dilute; thin; weak (tea); pampas grass,3,2
暴,ボウ・バク・あば.く・あば.れる,outburst; rave; fret; force; violence; cruelty; outrage,3,2
札,サツ・ふだ,tag; paper money; counter for bonds; placard; bid,3,2
倍,バイ,double; twice; times; fold,3,2
棒,ボウ,rod; stick; cane; pole; club; line,3,2
署,ショ,signature; govt office; police station,3,2
況,キョウ・まし.て・いわ.んや・おもむき,condition; situation,3,2
複,フク,duplicate; double; compound; multiple,3,2
坂,ハン・さか,slope; incline; hill,3,2
補,ホ・おぎな.う,supplement; supply; make good; offset; compensate; assistant; learner,3,2
溶,ヨウ・と.ける・と.かす・と.く,melt; dissolve; thaw,3,2
府,フ,borough; urban prefecture; govt office; representative body; storehouse,3,2
濯,タク・すす.ぐ・ゆす.ぐ,laundry; wash; pour on; rinse,3,2
領,リョウ・えり,jurisdiction; dominion; territory; fief; reign,3,2
叫,キョウ・さけ.ぶ,shout; exclaim; yell,3,2
尊,ソン・たっと.い・とうと.い・たっと.ぶ・とうと.ぶ,revered; valuable; precious; noble; exalted,3,2
敬,ケイ・キョウ・うやま.う,awe; respect; honor; revere,3,2
装,ソウ・ショウ・よそお.う・よそお.い,attire; dress; pretend; disguise; profess,3,2
恋,レン・こ.う・こい・こい.しい,romance; in love; yearn for; miss; darling,3,2
震,シン・ふる.う・ふる.える,quake; shake; tremble; quiver; shiver,3,2
柱,チュウ・はしら,pillar; post; cylinder; support,3,2
齢,レイ・よわい・とし,age,3,2
禁,キン,prohibition; ban; forbid,3,2
腰,ヨウ・こし,loins; hips; waist; low wainscoting,3,2
傾,ケイ・かたむ.く・かたむ.ける・かたぶ.く・かた.げる・かし.げる,lean; incline; tilt; trend; wane; sink; ruin; bias,3,2
玉,ギョク・たま・たま~・~だま,jewel; ball,3,2
泊,ハク・と.まる・と.める,overnight stay; put up at; ride at anchor,3,2
造,ゾウ・つく.る・つく.り・~づく.り,create; make; structure; physique,3,2
固,コ・かた.める・かた.まる・かた.まり・かた.い,harden; set; clot; curdle,3,2
悩,ノウ・なや.む・なや.ます・なや.ましい・なやみ,trouble; worry; in pain; distress; illness,3,2
郊,コウ,outskirts; suburbs; rural area,3,2
村,ソン・むら,village; town,3,2
滴,テキ・しずく・したた.る,drip; drop,3,2
並,ヘイ・ホウ・な.み・なみ・なら.べる・なら.ぶ・なら.びに,row; and; besides; as well as; line up; rank with; rival; equal,3,2
替,タイ・か.える・か.え~・か.わる,exchange; spare; substitute; per-,3,2
乾,カン・ケン・かわ.く・かわ.かす・ほ.す・ひ.る・いぬい,drought; dry; dessicate; drink up; heaven; emperor,3,2
板,ハン・バン・いた,plank; board; plate; stage,3,2
防,ボウ・ふせ.ぐ,ward off; defend; protect; resist,3,2
武,ブ・ム・たけ・たけ.し,warrior; military; chivalry; arms,3,2
卒,ソツ・シュツ・そっ.する・お.える・お.わる・ついに・にわか,graduate; soldier; private; die,3,2
億,オク,hundred million; 10**8,3,2
黄,コウ・オウ・き・こ~,yellow,3,2
混,コン・ま.じる・~ま.じり・ま.ざる・ま.ぜる・こ.む,mix; blend; confuse,3,2
掃,ソウ・シュ・は.く,sweep; brush,3,2
机,キ・つくえ,desk; table,3,2
刷,サツ・す.る・~ず.り・~ずり・は.く,printing; print; brush,3,2
氷,ヒョウ・こおり・ひ・こお.る,icicle; ice; hail; freeze; congeal,3,2
孫,ソン・まご,grandchild; descendants,3,2
周,シュウ・まわ.り,circumference; circuit; lap,3,2
副,フク,vice-; assistant; aide; duplicate; copy,3,2
触,ショク・ふ.れる・さわ.る・さわ,contact; touch; feel; hit; proclaim; announce; conflict,3,2
缶,カン・かま,tin can; container; jar radical (no. 121),3,2
糸,シ・いと,thread,3,2
賢,ケン・かしこ.い,intelligent; wise; wisdom; cleverness,3,2
辺,ヘン・あた.り・ほと.り・~べ,environs; boundary; border; vicinity,3,2
埋,マイ・う.める・う.まる・う.もれる・うず.める・うず.まる・い.ける,bury; be filled up; embedded,3,2
植,ショク・う.える・う.わる,plant,3,2
針,シン・はり,needle; pin; staple; stinger,3,2
寺,ジ・てら,Buddhist temple,3,2
季,キ,seasons,3,2
橋,キョウ・はし,bridge,3,2
紅,コウ・ク・べに・くれない・あか.い,crimson; deep red,3,2
党,トウ・なかま・むら,party; faction; clique,3,2
律,リツ・リチ・レツ,rhythm; law; regulation; gauge; control,3,2
依,イ・エ・よ.る,reliant; depend on; consequently; therefore; due to,3,2
換,カン・か.える・~か.える・か.わる,interchange; period; change; convert; replace; renew,3,2
児,ジ・ニ・ゲイ・こ・~こ・~っこ,newborn babe; child; young of animals,3,2
駐,チュウ,stop-over; reside in; resident,3,2
虫,チュウ・キ・むし,insect; bug; temper,3,2
軽,ケイ・キョウ・キン・かる.い・かろ.やか・かろ.んじる,lightly; trifling; unimportant,3,2
涙,ルイ・レイ・なみだ,tears; sympathy,3,2
喫,キツ・の.む,consume; eat; drink; smoke; receive (a blow),3,2
珍,チン・めずら.しい・たから,rare; curious; strange,3,2
績,セキ,exploits; achievements; unreeling cocoons,3,2
畳,ジョウ・チョウ・たた.む・たたみ・かさ.なる,tatami mat; counter for tatami mats; fold; shut up; do away with,3,2
蒸,ジョウ・セイ・む.す・む.れる・む.らす,steam; heat; sultry; foment; get musty,3,2
戸,コ・と,door; counter for houses; door radical (no. 63),3,2
巨,キョ,gigantic; big; large; great,3,2
皿,ベイ・さら,dish; a helping; plate,3,2
預,ヨ・あず.ける・あず.かる,deposit; custody; leave with; entrust to,3,2
損,ソン・そこ.なう・そこな.う・~そこ.なう・そこ.ねる・~そこ.ねる,damage; loss; disadvantage; hurt; injure,3,2
温,オン・あたた.か・あたた.かい・あたた.まる・あたた.める・ぬく,warm,3,2
皮,ヒ・かわ,pelt; skin; hide; leather; skin radical (no. 107),3,2
比,ヒ・くら.べる,compare; race; ratio; Philippines,3,2
象,ショウ・ゾウ・かたど.る,elephant; pattern after; imitate; image; shape; sign (of the times),3,2
胃,イ,stomach; paunch; crop; craw,3,2
根,コン・ね・~ね,root; radical; head (pimple),3,2
幅,フク・はば,hanging scroll; width,3,2
銅,ドウ・あかがね,copper,3,2
湖,コ・みずうみ,lake,3,2
跡,セキ・あと,tracks; mark; print; impression,3,2
隻,セキ,vessels; counter for ships; fish; birds; arrows; one of a pair,3,2
郵,ユウ,mail; stagecoach stop,3,2
芸,ゲイ・ウン・う.える・のり・わざ,technique; art; craft; performance; acting; trick; stunt,3,2
接,セツ・ショウ・つ.ぐ,touch; contact; adjoin; piece together,3,2
裏,リ・うら,back; amidst; in; reverse; inside; palm; sole; rear; lining; wrong side,3,2
畜,チク,livestock; domestic fowl and animals,3,2
蔵,ゾウ・ソウ・くら・おさ.める・かく.れる,storehouse; hide; own; have; possess,3,2
管,カン・くだ,pipe; tube; wind instrument; drunken talk; control; jurisdiction,3,2
秒,ビョウ,second (1/60 minute),3,2
委,イ・ゆだ.ねる,committee; entrust to; leave to; devote; discard,3,2
汗,カン・あせ,sweat; perspire,3,2
貝,バイ・かい,shellfish,3,2
庫,コ・ク・くら,warehouse; storehouse,3,2
刊,カン,publish; carve; engrave,3,2
区,ク・オウ・コウ,ward; district,3,2
県,ケン・か.ける,prefecture,3,2
劇,ゲキ,drama; play,3,2
奥,オウ・おく・おく.まる・くま,heart; interior,3,2
紹,ショウ,introduce; inherit; help,3,2
油,ユ・ユウ・あぶら,oil; fat,3,2
賞,ショウ・ほ.める,prize; reward; praise,3,2
臓,ゾウ・はらわた,entrails; viscera; bowels,3,2
版,ハン,printing block; printing plate; edition; impression; label,3,2
湾,ワン・いりえ,gulf; bay; inlet,3,2
麦,バク・むぎ,barley; wheat,3,2
算,サン・そろ,calculate; divining; number; abacus; probability,3,2
冊,サツ・サク・ふみ,tome; counter for books; volume,3,2
星,セイ・ショウ・ほし・~ぼし,star; spot; dot; mark,3,2
脳,ノウ・ドウ・のうずる,brain; memory,3,2
枝,シ・えだ,bough; branch; twig; limb; counter for branches,3,2
希,キ・ケ・まれ,hope; beg; request; pray; beseech; Greece; dilute (acid); rare; few; phenomenal,3,2
諸,ショ・もろ,various; many; several; together,3,2
超,チョウ・こ.える・こ.す,transcend; super-; ultra-,3,2
税,ゼイ,tax; duty,3,2
胸,キョウ・むね・むな~,bosom; breast; chest; heart; feelings,3,2
勇,ユウ・いさ.む,courage; cheer up; be in high spirits; bravery; heroism,3,2
章,ショウ,badge; chapter; composition; poem; design,3,2
州,シュウ・ス・す,state; province,3,2
羽,ウ・は・わ・はね,"feathers; counter for birds, rabbits",3,2
底,テイ・そこ,bottom; sole; depth; bottom price; base; kind; sort,3,2
浅,セン・あさ.い,shallow; superficial; frivolous; wretched; shameful,3,2
濃,ノウ・こ.い,concentrated; thick; dark; undiluted,3,2
測,ソク・はか.る,fathom; plan; scheme; measure,3,2
捨,シャ・す.てる,discard; throw away; abandon; resign; reject; sacrifice,3,2
灰,カイ・はい,ashes; puckery juice; cremate,3,2
綿,メン・わた,cotton,3,2
布,フ・ぬの,linen; cloth; spread; distribute,3,2
各,カク・おのおの,each; every; either,3,2
巻,カン・ケン・ま.く・まき・ま.き,scroll; volume; book; part; roll up; wind up; tie; coil; counter for texts (or book scrolls),3,2
導,ドウ・みちび.く,guidance; leading; conduct; usher,3,2
衣,イ・エ・ころも・きぬ・~ぎ,garment; clothes; dressing,3,2
般,ハン,carrier; carry; all; general; sort; kind,3,2
輪,リン・わ,wheel; ring; circle; link; loop; counter for wheels and flowers,3,2
営,エイ・いとな.む・いとな.み,occupation; camp; perform; build; conduct (business),3,2
鋭,エイ・するど.い,pointed; sharpness; edge; weapon; sharp; violent,3,2
脂,シ・あぶら,fat; grease; tallow; lard; rosin; gum; tar,3,2
額,ガク・ひたい,forehead; tablet; plaque; framed picture; sum; amount; volume,3,2
総,ソウ・す.べて・すべ.て・ふさ,general; whole; all; full; total,3,2
農,ノウ,agriculture; farmers,3,2
録,ロク・しる.す・と.る,record,3,2
協,キョウ,co-; cooperation,3,2
骨,コツ・ほね,skeleton; bone; remains; frame,3,2
臣,シン・ジン,retainer; subject,3,2
央,オウ,center; middle,3,2
貿,ボウ,trade; exchange,3,2
史,シ,history; chronicle,3,2
甘,カン・あま.い・あま.える・あま.やかす・うま.い,sweet; coax; pamper; be content; sugary,3,2
再,サイ・サ・ふたた.び,again; twice; second time,3,2
毛,モウ・け,fur; hair; feather; down,3,2
刺,シ・さ.す・さ.さる・さ.し・さし・とげ,thorn; pierce; stab; prick; sting; calling card,3,2
門,モン・かど・と,gate; counter for cannons,3,2
拝,ハイ・おが.む・おろが.む,worship; adore; pray to,3,2
航,コウ,navigate; sail; cruise; fly,3,2
艇,テイ,rowboat; small boat,4,1
涯,ガイ・はて,horizon; shore; limit; bound,4,1
吏,リ,officer; an official,4,1
呂,ロ・リョ・せぼね,spine; backbone,4,1
叙,ジョ・つい.ず・ついで,confer; relate; narrate; describe,4,1
操,ソウ・サン・みさお・あやつ.る,maneuver; manipulate; operate; steer; chastity; virginity; fidelity,4,1
棚,ホウ・たな・~だな,shelf; ledge; rack; mount; mantle; trellis,4,1
桐,トウ・ドウ・きり,paulownia,4,1
華,カ・ケ・はな,splendor; flower; petal; shine; luster; ostentatious; showy; gay; gorgeous,4,1
妨,ボウ・さまた.げる,disturb; prevent; hamper; obstruct,4,1
微,ビ・かす.か,delicate; minuteness; insignificance,4,1
哉,サイ・かな・や,how; what; alas; question mark; exclamation mark,4,1
俸,ホウ,stipend; salary,4,1
謡,ヨウ・うた.い・うた.う,song; sing; ballad; noh chanting,4,1
渇,カツ・かわ.く,thirst; dry up; parch,4,1
舜,シュン,type of morning glory; rose of Sharon; althea,4,1
第,ダイ・テイ,No.; residence,4,1
瞬,シュン・またた.く・まじろ.ぐ,wink; blink; twinkle,4,1
栗,リツ・リ・くり・おののく,chestnut,4,1
錬,レン・ね.る,tempering; refine; drill; train; polish,4,1
殻,カク・コク・バイ・から・がら,husk; nut shell,4,1
殴,オウ・なぐ.る,assault; hit; beat; thrash,4,1
裂,レツ・さ.く・さ.ける・~ぎ.れ,split; rend; tear,4,1
慧,ケイ・エ・さとい,wise,4,1
沖,チュウ・おき・おきつ・ちゅう.する・わく,open sea; offing; rise high into sky,4,1
俊,シュン,sagacious; genius; excellence,4,1
虎,コ・とら,tiger; drunkard,4,1
麟,リン,Chinese unicorn; genius; giraffe; bright; shining,4,1
琉,リュウ・ル,precious stone; gem; lapis lazuli,4,1
漆,シツ・うるし,lacquer; varnish; seven,4,1
粋,スイ・いき,chic; style; purity; essence; pith; cream; elite; choice,4,1
訳,ヤク・わけ,translate; reason; circumstance; case,4,1
逮,タイ,apprehend; chase,4,1
潟,セキ・かた・~がた,lagoon,4,1
頌,ショウ・ジュ・ヨウ・かたち・たた.える・ほめ.る,eulogy,4,1
囚,シュウ・とら.われる,captured; criminal; arrest; catch,4,1
透,トウ・す.く・す.かす・す.ける・とう.る・とう.す,transparent; permeate; filter; penetrate,4,1
椎,ツイ・スイ・つち・う.つ,chinquapin; mallet; spine,4,1
伍,ゴ・いつつ,five; five-man squad; file; line,4,1
嘱,ショク・しょく.する・たの.む,entrust; request; send a message,4,1
較,カク・コウ・くら.べる,contrast; compare,4,1
樹,ジュ・き,timber; trees; wood; establish; set up,4,1
奪,ダツ・うば.う,rob; take by force; snatch away; dispossess; plunder; usurp,4,1
崎,キ・さき・さい・みさき,promontory; cape; spit,4,1
凌,リョウ・しの.ぐ,endure; keep (rain)out; stave off; tide over; defy; slight; surpass,4,1
幹,カン・みき,tree trunk; main part; talent; capability,4,1
壱,イチ・イツ・ひとつ,one (in documents),4,1
升,ショウ・ます,measuring box; 1.8 liter,4,1
房,ボウ・ふさ,tassel; tuft; fringe; bunch; lock (hair); segment (orange); house; room,4,1
肺,ハイ,lungs,4,1
砕,サイ・くだ.く・くだ.ける,smash; break; crush; familiar; popular,4,1
嵩,スウ・シュウ・かさ・かさ.む・たか.い,be aggravated; grow worse; grow bulky; swell,4,1
響,キョウ・ひび.く,echo; sound; resound; ring; vibrate,4,1
冗,ジョウ,superfluous; uselessness,4,1
仮,カ・ケ・かり・かり~,sham; temporary; interim; assumed (name); informal,4,1
盤,バン,tray; shallow bowl; platter; tub; board; phonograph record,4,1
穀,コク,cereals; grain,4,1
廷,テイ,courts; imperial court; government office,4,1
詠,エイ・よ.む・うた.う,recitation; poem; song; composing,4,1
冒,ボウ・おか.す,risk; face; defy; dare; damage; assume (a name),4,1
峰,ホウ・みね・ね,summit; peak,4,1
稚,チ・ジ・いとけない・おさない・おくて・おでる,immature; young,4,1
酉,ユウ・とり,west; bird; sign of the bird; 5-7PM; tenth sign of Chinese zodiac; sake radical (no. 164),4,1
墳,フン,tomb; mound,4,1
滉,コウ・ひろ.い,deep and broad,4,1
懸,ケン・ケ・か.ける・か.かる,state of suspension; hang; depend; consult; distant; far apart,4,1
塁,ルイ・ライ・スイ・とりで,bases; fort; rampart; walls; base(ball),4,1
託,タク・かこつ.ける・かこ.つ・かこ.つける,consign; requesting; entrusting with; pretend; hint,4,1
暖,ダン・ノン・あたた.か・あたた.かい・あたた.まる・あたた.める,warmth,4,1
詳,ショウ・くわ.しい・つまび.らか,detailed; full; minute; accurate; well-informed,4,1
竣,ドウ・シュン・わらわ・わらべ・おわ.る,end; finish,4,1
拷,ゴウ,torture; beat,4,1
奉,ホウ・ブ・たてまつ.る・まつ.る・ほう.ずる,observance; offer; present; dedicate,4,1
娠,シン,with child; pregnancy,4,1
伐,バツ・ハツ・カ・ボチ・き.る・そむ.く・う.つ,fell; strike; attack; punish,4,1
嘆,タン・なげ.く・なげ.かわしい,sigh; lament; moan; grieve; sigh of admiration,4,1
甲,コウ・カン・きのえ,armor; high (voice); A grade; first class; former; instep; carapace,4,1
歓,カン・よろこ.ぶ,delight; joy,4,1
臨,リン・のぞ.む,look to; face; meet; confront; attend; call on,4,1
梢,ショウ・こずえ・くすのき,treetops; twig,4,1
跳,チョウ・は.ねる・と.ぶ・~と.び,hop; leap up; spring; jerk; prance; buck; splash; sputter; snap,4,1
析,セキ,chop; divide; tear; analyze,4,1
臭,シュウ・くさ.い・~くさ.い・にお.う・にお.い,stinking; ill-smelling; suspicious looking; odor; savor; fragrance; be fragrant; stink; glow; be bright,4,1
貢,コウ・ク・みつ.ぐ,tribute; support; finance,4,1
浦,ホ・うら,bay; creek; inlet; gulf; beach; seacoast,4,1
蛍,ケイ・ほたる,lightning-bug; firefly,4,1
莞,カン・い,smiling; reed used to cover tatami,4,1
燎,リョウ・かがりび,burn; bonfire,4,1
紗,サ・シャ・うすぎぬ,gauze; gossamer,4,1
唄,バイ・うた・うた.う,song; ballad,4,1
藩,ハン,clan; enclosure,4,1
衆,シュウ・シュ・おお.い,masses; great numbers; multitude; populace,4,1
挙,キョ・あ.げる・あ.がる・こぞ.る,raise; plan; project; behavior; actions,4,1
株,シュ・かぶ,stocks; stump; shares; stock; counter for small plants,4,1
染,セン・そ.める・~ぞ.め・~ぞめ・そ.まる・し.みる・~じ.みる・し.み・~し.める,dye; color; paint; stain; print,4,1
遵,ジュン,abide by; follow; obey; learn,4,1
妊,ニン・ジン・はら.む・みごも.る,pregnancy,4,1
溝,コウ・みぞ,gutter; ditch; sewer; drain; 10**32,4,1
尽,ジン・サン・つ.くす・~つ.くす・~づ.くし・~つ.く・~づ.く・~ず.く・つ.きる・つ.かす・さかづき・ことごと.く・つか・つき,exhaust; use up; run out of; deplete; befriend; serve,4,1
菊,キク,chrysanthemum,4,1
禎,テイ・さいわ.い,happiness; blessed; good fortune; auspicious,4,1
帳,チョウ・とばり,notebook; account book; album; curtain; veil; net; tent,4,1
為,イ・ため・な.る・な.す・す.る・たり・つく.る・なり,do; change; make; benefit; welfare; be of use; reach to; try; practice; cost; serve as; good; advantage; as a result of,4,1
携,ケイ・たずさ.える・たずさ.わる,portable; carry (in hand); armed with; bring along,4,1
就,シュウ・ジュ・つ.く・つ.ける,concerning; settle; take position; depart; study; per,4,1
浄,ジョウ・セイ・きよ.める・きよ.い,clean; purify; cleanse; exorcise; Manchu Dynasty,4,1
称,ショウ・たた.える・とな.える・あ.げる・かな.う・はか.り・はか.る・ほめ.る,appellation; praise; admire; name; title; fame,4,1
烈,レツ・はげ.しい,ardent; violent; vehement; furious; severe; extreme,4,1
凜,リン・きびし.い,cold; strict; severe,4,1
培,バイ・つちか.う,cultivate; foster,4,1
箇,カ・コ,counter for articles,4,1
匡,キョウ・オウ・すく.う,correct; save; assist,4,1
推,スイ・お.す,conjecture; infer; guess; suppose; support; push (for),4,1
訴,ソ・うった.える,accusation; sue; complain of pain; appeal to,4,1
鯛,チョウ・たい,sea bream; red snapper,4,1
証,ショウ・あかし,evidence; proof; certificate,4,1
紬,チュウ・つむぎ・つむ.ぐ,pongee (a knotted silk cloth),4,1
緊,キン・し.める・し.まる,tense; solid; hard; reliable; tight,4,1
寧,ネイ・むし.ろ,rather; preferably; peaceful; quiet; tranquility,4,1
頻,ヒン・しき.りに,repeatedly; recur,4,1
松,ショウ・まつ,pine tree,4,1
概,ガイ・おおむ.ね,outline; condition; approximation; generally,4,1
湧,ユウ・ヨウ・ユ・わ.く,boil; ferment; seethe; uproar; breed,4,1
辰,シン・ジン・たつ,sign of the dragon; 7-9AM; fifth sign of Chinese zodiac; shin dragon radical (no. 161),4,1
矛,ム・ボウ・ほこ,halberd; arms; festival float,4,1
壊,カイ・エ・こわ.す・こわ.れる・やぶ.る,demolition; break; destroy,4,1
序,ジョ・つい.で・ついで,preface; beginning; order; precedence; occasion; chance; incidentally,4,1
裸,ラ・はだか,naked; nude; uncovered; partially clothed,4,1
鉢,ハチ・ハツ,bowl; rice tub; pot; crown,4,1
蚕,サン・テン・かいこ・こ,silkworm,4,1
斤,キン,axe; 1.32 lb; catty; counter for loaves of bread; axe radical (no. 69),4,1
滝,ロウ・ソウ・たき,waterfall; rapids; cascade,4,1
忌,キ・い.む・い.み・い.まわしい,mourning; abhor; detestable; death anniversary,4,1
畔,ハン・あぜ・くろ・ほとり,paddy ridge; levee,4,1
宴,エン・うたげ,banquet; feast; party,4,1
享,キョウ・コウ・う.ける,enjoy; receive; undergo; answer (phone); take; get; catch,4,1
盛,セイ・ジョウ・も.る・さか.る・さか.ん,boom; prosper; copulate,4,1
唯,ユイ・イ・ただ,solely; only; merely; simply,4,1
斥,セキ・しりぞ.ける,reject; retreat; recede; withdraw; repel; repulse,4,1
繕,ゼン・つくろ.う,darning; repair; mend; trim; tidy up; adjust,4,1
沢,タク・さわ・うるお.い・うるお.す・つや,swamp; marsh; brilliance; grace,4,1
修,シュウ・シュ・おさ.める・おさ.まる,discipline; conduct oneself well; study; master,4,1
曹,ソウ・ゾウ,office; official; comrade; fellow,4,1
啓,ケイ・ひら.く・さと.す,disclose; open; say,4,1
陵,リョウ・みささぎ,mausoleum; imperial tomb; mound; hill,4,1
衛,エイ・エ,defense; protection,4,1
遥,ヨウ・はる.か,far off; distant; long ago,4,1
遭,ソウ・あ.う・あ.わせる,encounter; meet; party; association; interview; join,4,1
悟,ゴ・さと.る,enlightenment; perceive; discern; realize; understand,4,1
絃,ゲン・いと,string; cord; samisen music,4,1
誉,ヨ・ほま.れ・ほ.める,reputation; praise; honor; glory,4,1
譜,フ,musical score; music; note; staff; table; genealogy,4,1
隣,リン・とな.る・となり,neighboring,4,1
沼,ショウ・ぬま,marsh; lake; bog; swamp; pond,4,1
盟,メイ,alliance; oath,4,1
傷,ショウ・きず・いた.む・いた.める,wound; hurt; injure; impair; pain; injury; cut; gash; scar; weak point,4,1
腸,チョウ・はらわた・わた,intestines; guts; bowels; viscera,4,1
壁,ヘキ・かべ,wall; lining (stomach); fence,4,1
敢,カン・あ.えて・あ.えない・あ.えず,daring; brave; bold; sad; tragic; pitiful,4,1
暫,ザン・しばら.く,temporarily; a while; moment; long time,4,1
楠,ナン・ダン・ゼン・ネン・くす・くすのき,camphor tree,4,1
